code,var,x
862,region,Americas
862,sub_region,Latin America and the Caribbean
704,alpha_2,VN
704,alpha_3,VNM
704,name,Viet Nam
704,region,Asia
704,sub_region,South-eastern Asia
92,alpha_2,VG
92,alpha_3,VGB
92,name,Virgin Islands (British)
92,region,Americas
92,sub_region,Latin America and the Caribbean
850,alpha_2,VI
850,alpha_3,VIR
850,name,Virgin Islands (U.S.)
850,region,Americas
850,sub_region,Latin America and the Caribbean
876,alpha_2,WF
876,alpha_3,WLF
876,name,Wallis and Futuna
876,region,Oceania
876,sub_region,Polynesia
732,alpha_2,EH
732,alpha_3,ESH
732,name,Western Sahara
732,region,Africa
732,sub_region,Northern Africa
887,alpha_2,YE
887,alpha_3,YEM
887,name,Yemen
887,region,Asia
887,sub_region,Western Asia
894,alpha_2,ZM
894,alpha_3,ZMB
894,name,Zambia
894,region,Africa
894,sub_region,Sub-Saharan Africa
716,alpha_2,ZW
716,alpha_3,ZWE
716,name,Zimbabwe
716,region,Africa
716,sub_region,Sub-Saharan Africa
